observation_date,BAMLCC8A015PYTRIV
1984-07-01,195.96
1984-08-01,201.87
1984-09-01,209.17
1984-10-01,221.13
1984-11-01,225.10
1984-12-01,227.82
1985-01-01,235.37
1985-02-01,227.40
1985-03-01,231.71
1985-04-01,238.09
1985-05-01,257.23
1985-06-01,258.12
1985-07-01,256.09
1985-08-01,265.27
1985-09-01,263.83
1985-10-01,272.13
1985-11-01,282.51
1985-12-01,294.86
1986-01-01,296.02
1986-02-01,318.40
1986-03-01,323.67
1986-04-01,323.03
1986-05-01,320.45
1986-06-01,327.23
1986-07-01,325.70
1986-08-01,335.98
1986-09-01,332.44
1986-10-01,338.45
1986-11-01,341.34
1986-12-01,349.32
1987-01-01,356.51
1987-02-01,358.30
1987-03-01,361.06
1987-04-01,349.62
1987-05-01,338.54
1987-06-01,344.29
1987-07-01,346.06
1987-08-01,342.18
1987-09-01,331.69
1987-10-01,329.32
1987-11-01,345.01
1987-12-01,347.22
1988-01-01,358.04
1988-02-01,373.22
1988-03-01,373.04
1988-04-01,367.40
1988-05-01,361.14
1988-06-01,367.63
1988-07-01,369.24
1988-08-01,371.29
1988-09-01,382.73
1988-10-01,389.89
1988-11-01,391.64
1988-12-01,393.73
1989-01-01,396.32
1989-02-01,397.38
1989-03-01,397.08
1989-04-01,402.68
1989-05-01,411.83
1989-06-01,433.36
1989-07-01,440.24
1989-08-01,440.35
1989-09-01,441.99
1989-10-01,448.93
1989-11-01,450.37
1989-12-01,453.35
1990-01-01,448.68
1990-02-01,444.19
1990-03-01,444.97
1990-04-01,444.14
1990-05-01,448.23
1990-06-01,461.68
1990-07-01,463.83
1990-08-01,457.05
1990-09-01,454.47
1990-10-01,460.89
1990-11-01,471.11
1990-12-01,483.73
1991-01-01,487.05
1991-02-01,500.61
1991-03-01,499.37
1991-04-01,509.36
1991-05-01,513.10
1991-06-01,510.22
1991-07-01,516.10
1991-08-01,534.52
1991-09-01,545.19
1991-10-01,550.01
1991-11-01,556.72
1991-12-01,569.58
1992-01-01,577.13
1992-02-01,572.84
1992-03-01,573.85
1992-04-01,582.10
1992-05-01,590.30
1992-06-01,597.87
1992-07-01,614.13
1992-08-01,625.75
1992-09-01,632.12
1992-10-01,626.81
1992-11-01,625.99
1992-12-01,638.00
1993-01-01,647.97
1993-02-01,662.84
1993-03-01,678.56
1993-04-01,682.00
1993-05-01,683.26
1993-06-01,692.45
1993-07-01,705.54
1993-08-01,723.07
1993-09-01,741.14
1993-10-01,744.84
1993-11-01,732.25
1993-12-01,736.70
1994-01-01,741.73
1994-02-01,739.06
1994-03-01,719.05
1994-04-01,699.80
1994-05-01,693.95
1994-06-01,699.93
1994-07-01,696.96
1994-08-01,704.21
1994-09-01,694.62
1994-10-01,686.31
1994-11-01,682.91
1994-12-01,700.44
1995-01-01,706.57
1995-02-01,725.83
1995-03-01,742.68
1995-04-01,755.33
1995-05-01,787.15
1995-06-01,814.09
1995-07-01,811.56
1995-08-01,806.22
1995-09-01,830.58
1995-10-01,848.46
1995-11-01,857.81
1995-12-01,877.92
1996-01-01,883.90
1996-02-01,873.74
1996-03-01,851.68
1996-04-01,843.10
1996-05-01,839.40
1996-06-01,837.85
1996-07-01,846.30
1996-08-01,865.39
1996-09-01,856.73
1996-10-01,884.04
1996-11-01,915.23
1996-12-01,913.13
1997-01-01,899.07
1997-02-01,917.42
1997-03-01,902.29
1997-04-01,894.25
1997-05-01,913.74
1997-06-01,935.51
1997-07-01,967.99
1997-08-01,965.46
1997-09-01,978.82
1997-10-01,998.99
1997-11-01,1011.44
1997-12-01,1026.76
1998-01-01,1047.52
1998-02-01,1042.91
1998-03-01,1045.21
1998-04-01,1055.64
1998-05-01,1063.25
1998-06-01,1086.77
1998-07-01,1088.42
1998-08-01,1093.08
1998-09-01,1086.70
1998-10-01,1096.53
1998-11-01,1084.11
1998-12-01,1126.53
1999-01-01,1131.48
1999-02-01,1116.34
1999-03-01,1108.50
1999-04-01,1119.32
1999-05-01,1096.09
1999-06-01,1065.47
1999-07-01,1074.84
1999-08-01,1057.21
1999-09-01,1057.96
1999-10-01,1051.32
1999-11-01,1076.38
1999-12-01,1067.69
2000-01-01,1053.63
2000-02-01,1078.59
2000-03-01,1076.20
2000-04-01,1079.47
2000-05-01,1035.21
2000-06-01,1064.72
2000-07-01,1089.16
2000-08-01,1110.30
2000-09-01,1105.95
2000-10-01,1113.33
2000-11-01,1116.06
2000-12-01,1143.21
2001-01-01,1167.04
2001-02-01,1196.64
2001-03-01,1214.65
2001-04-01,1193.93
2001-05-01,1206.60
2001-06-01,1232.84
2001-07-01,1244.40
2001-08-01,1273.62
2001-09-01,1259.50
2001-10-01,1281.46
2001-11-01,1301.49
2001-12-01,1280.96
2002-01-01,1306.50
2002-02-01,1310.06
2002-03-01,1287.27
2002-04-01,1297.30
2002-05-01,1291.50
2002-06-01,1316.04
2002-07-01,1298.00
2002-08-01,1318.44
2002-09-01,1369.13
2002-10-01,1331.36
2002-11-01,1377.28
2002-12-01,1412.11
2003-01-01,1431.97
2003-02-01,1460.30
2003-03-01,1474.76
2003-04-01,1492.43
2003-05-01,1587.71
2003-06-01,1624.36
2003-07-01,1542.93
2003-08-01,1481.64
2003-09-01,1529.13
2003-10-01,1546.21
2003-11-01,1567.73
2003-12-01,1593.29
2004-01-01,1630.16
2004-02-01,1642.18
2004-03-01,1680.07
2004-04-01,1615.59
2004-05-01,1563.98
2004-06-01,1574.23
2004-07-01,1614.99
2004-08-01,1653.51
2004-09-01,1694.84
2004-10-01,1712.70
2004-11-01,1722.36
2004-12-01,1742.93
2005-01-01,1775.66
2005-02-01,1818.69
2005-03-01,1770.56
2005-04-01,1773.64
2005-05-01,1794.08
2005-06-01,1843.35
2005-07-01,1829.01
2005-08-01,1830.34
2005-09-01,1826.51
2005-10-01,1783.01
2005-11-01,1771.58
2005-12-01,1794.22
2006-01-01,1817.03
2006-02-01,1814.90
2006-03-01,1790.43
2006-04-01,1739.70
2006-05-01,1730.11
2006-06-01,1731.87
2006-07-01,1745.20
2006-08-01,1791.96
2006-09-01,1834.00
2006-10-01,1845.76
2006-11-01,1900.20
2006-12-01,1907.85
2007-01-01,1888.02
2007-02-01,1911.35
2007-03-01,1926.41
2007-04-01,1908.52
2007-05-01,1914.50
2007-06-01,1853.55
2007-07-01,1861.61
2007-08-01,1867.45
2007-09-01,1896.02
2007-10-01,1933.64
2007-11-01,1949.38
2007-12-01,1917.57
2008-01-01,1946.76
2008-02-01,1898.60
2008-03-01,1885.51
2008-04-01,1899.02
2008-05-01,1916.49
2008-06-01,1885.22
2008-07-01,1864.38
2008-08-01,1868.42
2008-09-01,1816.19
2008-10-01,1568.38
2008-11-01,1567.94
2008-12-01,1730.63
2009-01-01,1789.58
2009-02-01,1750.95
2009-03-01,1672.08
2009-04-01,1705.42
2009-05-01,1775.58
2009-06-01,1881.32
2009-07-01,1958.77
2009-08-01,2073.03
2009-09-01,2144.87
2009-10-01,2170.46
2009-11-01,2177.01
2009-12-01,2173.03
2010-01-01,2205.37
2010-02-01,2184.68
2010-03-01,2218.36
2010-04-01,2248.07
2010-05-01,2295.58
2010-06-01,2293.33
2010-07-01,2370.00
2010-08-01,2466.56
2010-09-01,2475.56
2010-10-01,2482.60
2010-11-01,2434.14
2010-12-01,2389.75
2011-01-01,2408.80
2011-02-01,2396.64
2011-03-01,2436.94
2011-04-01,2459.42
2011-05-01,2539.35
2011-06-01,2541.99
2011-07-01,2554.53
2011-08-01,2667.39
2011-09-01,2707.86
2011-10-01,2712.89
2011-11-01,2778.78
2011-12-01,2765.58
2012-01-01,2806.22
2012-02-01,2857.18
2012-03-01,2839.81
2012-04-01,2865.98
2012-05-01,2919.70
2012-06-01,2958.73
2012-07-01,3078.65
2012-08-01,3088.66
2012-09-01,3098.57
2012-10-01,3172.94
2012-11-01,3200.95
2012-12-01,3175.72
2013-01-01,3147.27
2013-02-01,3109.07
2013-03-01,3110.90
2013-04-01,3210.83
2013-05-01,3169.55
2013-06-01,2989.17
2013-07-01,2947.83
2013-08-01,2903.45
2013-09-01,2896.81
2013-10-01,2967.54
2013-11-01,2954.53
2013-12-01,2969.88
2014-01-01,3049.87
2014-02-01,3102.03
2014-03-01,3142.92
2014-04-01,3217.20
2014-05-01,3297.86
2014-06-01,3300.03
2014-07-01,3342.06
2014-08-01,3391.18
2014-09-01,3364.99
2014-10-01,3430.00
2014-11-01,3405.85
2014-12-01,3445.08
2015-01-01,3596.91
2015-02-01,3570.00
2015-03-01,3562.16
2015-04-01,3596.07
2015-05-01,3421.84
2015-06-01,3328.94
2015-07-01,3329.24
2015-08-01,3367.17
2015-09-01,3334.98
2015-10-01,3371.35
2015-11-01,3332.93
2015-12-01,3330.03
2016-01-01,3315.86
2016-02-01,3324.21
2016-03-01,3438.15
2016-04-01,3586.04
2016-05-01,3623.27
2016-06-01,3707.21
2016-07-01,3870.77
2016-08-01,3885.76
2016-09-01,3859.06
2016-10-01,3833.55
2016-11-01,3661.05
2016-12-01,3608.83
2017-01-01,3694.12
2017-02-01,3700.03
2017-03-01,3693.88
2017-04-01,3775.63
2017-05-01,3808.39
2017-06-01,3919.16
2017-07-01,3924.92
2017-08-01,3972.07
2017-09-01,3993.61
2017-10-01,4012.35
2017-11-01,4044.56
2017-12-01,4100.29
2018-01-01,4087.66
2018-02-01,3952.93
2018-03-01,3926.23
2018-04-01,3930.15
2018-05-01,3856.50
2018-06-01,3850.71
2018-07-01,3893.90
2018-08-01,3923.92
2018-09-01,3889.89
2018-10-01,3816.15
2018-11-01,3753.53
2018-12-01,3822.37
2019-01-01,3871.63
2019-02-01,3977.31
2019-03-01,4037.63
2019-04-01,4130.09
2019-05-01,4186.30
2019-06-01,4330.19
2019-07-01,4442.65
2019-08-01,4685.92
2019-09-01,4674.99
2019-10-01,4678.93
2019-11-01,4689.32
2019-12-01,4755.22
2020-01-01,4849.59
2020-02-01,4993.63
2020-03-01,4607.26
2020-04-01,4762.25
2020-05-01,4811.13
2020-06-01,5001.36
2020-07-01,5255.55
2020-08-01,5280.73
2020-09-01,5209.05
2020-10-01,5162.19
2020-11-01,5288.92
2020-12-01,5379.62
